directorio,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7788712,1,1,2,1,6,1,2
7788713,1,1,1,1,6,1,1
7788714,1,1,1,1,4,1,1
7788715,1,1,1,1,6,1,1
7788717,1,1,1,1,4,1,1
7788721,1,1,2,1,6,2,1
7788723,1,1,1,1,6,1,1
7788724,1,1,1,1,4,2,1
7788725,1,1,1,1,4,1,1
7788727,1,1,3,1,4,2,1
7788728,1,1,1,1,4,1,1
7788729,1,1,3,5,5,2,2
7788732,1,1,3,1,6,2,2
7788733,1,1,1,1,4,1,1
7788735,1,1,3,4,7,2,2
7788736,1,1,1,1,4,1,1
7788737,1,1,1,1,4,2,1
7788740,1,1,1,1,4,2,1
7788741,1,1,1,1,4,1,1
7788743,1,1,1,1,6,1,1
7788744,1,1,1,1,4,2,1
7788745,1,1,2,1,6,2,1
7788746,1,1,2,1,4,1,1
7788747,1,1,1,1,6,1,1
7788748,1,1,2,1,6,1,1
7788749,1,1,1,1,4,1,1
7788750,1,1,1,1,6,1,1
7788751,1,1,1,1,4,1,1
7788752,1,1,1,1,4,2,2
7788753,1,1,1,1,4,2,1
7788754,1,1,1,1,4,1,1
7788756,1,1,1,1,6,1,1
7788757,1,1,3,1,4,2,1
7788760,1,1,1,1,4,2,1
7788761,1,1,1,1,4,1,1
7788763,1,1,2,6,6,1,1
7788764,1,1,1,1,4,1,2
7788766,1,1,1,1,4,2,1
7788767,1,1,1,1,6,1,1
7788768,1,1,1,1,4,1,2
7788769,1,1,3,1,4,2,1
7788770,1,1,2,1,4,2,1
7788771,1,1,2,1,6,2,1
7788773,1,1,1,1,4,2,2
7788774,1,1,2,5,5,2,2
7788775,1,1,1,1,6,1,1
7788776,1,1,2,1,4,1,1
7788778,1,1,3,1,6,2,2
7788779,1,1,1,1,6,1,1
7788780,1,1,1,1,4,1,1
7788781,1,1,2,1,4,2,1
7788782,1,1,2,1,4,2,1
7788783,1,1,1,1,4,1,1
7788784,1,1,1,1,4,1,1
7788785,1,1,1,1,6,2,1
7788787,1,1,3,6,4,2,2
7788788,1,1,3,1,6,2,2
7788789,1,1,1,1,4,2,1
7788791,1,1,1,1,6,1,1
7788792,1,1,1,1,6,1,1
7788794,1,1,1,1,4,1,1
7788795,1,1,1,1,6,1,1
7788796,1,1,1,3,6,1,1
7788797,1,1,2,1,4,2,1
7788798,1,1,2,1,6,2,1
7788799,1,1,1,1,4,1,1
7788801,1,1,1,1,6,2,1
7788803,1,1,3,1,4,2,1
7788804,1,1,1,9,6,2,2
7788805,1,1,2,1,7,2,1
7788807,1,1,3,5,7,2,2
7788809,1,1,1,1,6,1,1
7788811,1,1,2,5,6,2,1
7788812,1,1,1,1,4,2,1
7788813,1,1,3,1,6,2,2
7788814,1,1,1,1,4,1,1
7788816,1,1,2,5,6,2,2
7788817,1,1,3,1,4,2,1
7788818,1,1,3,1,7,2,1
7788819,1,1,1,5,7,2,2
7788821,1,1,2,5,4,2,2
7788822,1,1,2,1,6,2,1
7788824,1,1,3,4,7,2,2
7788825,1,1,1,1,4,1,1
7788826,1,1,3,1,6,2,2
7788827,1,1,2,1,6,2,1
7788828,1,1,3,1,4,2,1
7788829,1,1,1,1,6,2,1
7788830,1,1,3,1,4,2,2
7788831,1,1,1,1,4,2,1
7788833,1,1,1,1,4,1,1
7788834,1,1,1,1,4,1,1
7788835,1,1,1,1,4,1,1
7788836,1,1,1,1,4,1,1
7788837,1,1,3,1,4,2,1
7788838,1,1,2,5,7,2,1
7788839,1,1,1,1,4,1,1
7788840,1,1,1,1,4,2,2
7788841,1,1,1,1,4,1,1
7788843,1,1,1,5,6,2,2
7788845,1,1,3,1,6,2,1
7788846,1,1,1,1,6,1,1
7788847,1,1,1,1,4,1,1
7788849,1,1,2,1,6,1,1
7788850,1,1,1,1,6,1,1
7788851,1,1,2,1,4,1,1
7788853,1,1,2,5,5,2,2
7788854,1,1,2,1,4,1,1
7788855,1,1,1,5,5,1,1
7788856,1,1,3,1,4,2,1
7788859,1,1,3,1,6,2,2
7788860,1,1,3,5,7,2,2
7788861,1,1,3,1,6,2,2
7788863,1,1,1,1,4,1,1
7788864,1,1,2,1,6,2,2
7788865,1,1,1,5,5,1,1
7788866,1,1,1,1,4,1,1
7788867,1,1,1,1,4,1,1
7788868,1,1,1,1,4,1,1
7788869,1,1,1,5,5,1,1
7788870,1,1,1,5,7,2,2
7788871,1,1,2,1,4,2,2
7788872,1,1,1,5,5,1,1
7788874,1,1,2,5,7,2,2
7788875,1,1,2,5,6,1,1
7788876,1,1,3,1,6,2,2
7788877,1,1,1,1,6,1,1
7788878,1,1,1,5,5,2,1
7788879,1,1,1,1,4,1,1
7788880,1,1,1,1,4,1,1
7788881,1,1,3,1,4,2,2
7788882,1,1,3,1,6,2,2
7788883,1,1,1,1,4,2,1
7788885,1,1,1,1,6,2,1
7788886,1,1,1,1,4,1,1
7788887,1,1,1,1,4,1,1
7788888,1,1,2,1,4,1,1
7788889,1,1,1,1,4,1,1
7788891,1,1,3,1,6,2,1
7788892,1,1,1,1,4,1,1
7788893,1,1,2,5,6,2,2
7788896,1,1,1,1,4,1,1
7788897,1,1,1,1,4,1,1
7788898,1,1,1,1,6,2,1
7788899,1,1,2,5,6,2,2
7788900,1,1,1,1,4,1,1
7788902,1,1,3,4,7,2,2
7788903,1,1,1,1,4,1,1
7788904,1,1,1,1,4,1,1
7788906,1,1,1,1,4,1,1
7788907,1,1,1,1,4,1,1
7788908,1,1,1,1,4,1,1
7788909,1,1,2,4,7,2,2
7788910,1,1,2,1,6,1,2
7788911,1,1,1,1,4,1,1
7788913,1,1,1,1,6,2,1
7788914,1,1,1,1,4,1,1
7788915,1,1,3,1,4,2,1
7788916,1,1,2,1,6,2,1
7788917,1,1,1,1,4,1,1
7788918,1,1,1,1,6,2,1
7788919,1,1,1,1,4,1,1
7788920,1,1,1,1,4,1,1
7788921,1,1,2,5,6,2,2
7788922,1,1,1,1,4,1,1
7788923,1,1,3,4,7,2,1
