DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7567870,1,1,1,1,4,1,1
7567871,1,1,1,1,4,1,1
7567872,1,1,1,1,4,1,1
7567873,1,1,1,1,4,1,1
7567874,1,1,1,1,6,1,1
7567875,1,1,1,1,4,1,1
7567877,1,1,1,1,4,1,1
7567878,1,1,1,1,4,1,1
7567879,1,1,1,1,6,1,1
7567880,1,1,1,1,6,1,1
7567881,1,1,1,1,4,1,1
7567882,1,1,1,1,4,1,1
7567883,1,1,1,1,4,1,1
7567884,1,1,1,1,4,1,1
7567885,1,1,1,1,6,1,1
7567887,1,1,1,1,4,1,1
7567888,1,1,1,1,6,1,1
7567889,1,1,1,1,4,1,1
7567890,1,1,1,1,6,1,1
7567891,1,1,1,1,6,1,1
7567892,1,1,1,1,6,1,1
7567893,1,1,1,1,6,1,1
7567894,1,1,1,1,6,1,1
7567895,1,1,1,1,4,1,1
7567896,1,1,1,1,4,1,1
7567897,1,1,1,1,6,1,1
7567898,1,1,1,5,7,1,1
7567899,1,1,1,1,4,1,1
7567900,1,1,1,1,6,1,1
7567901,1,1,1,1,4,1,1
7567902,1,1,1,1,6,1,1
7567903,1,1,1,1,6,1,1
